JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2450000.3,10.5,,,Vis.,EPE,M,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450000.3694,9.4,,,Vis.,PUJ,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450000.4,9.7,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450001.3,9.7,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450002.3,10.6,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450002.3,9.8,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450002.6,10.5,,,Vis.,WDN,,,,,,,,V,,,,T UMI,,STD,,,,
2450003.3,11.3,,,Vis.,ZLT,,,,,,,,V,,,,T UMI,MCSE,STD,,,,
2450003.5,10.0,,,Vis.,MOL,,,,,,,,V,,,,T UMI,,STD,,,,
2450003.5,9.6,,,Vis.,SJQ,,,,,,,,V,,,,T UMI,MCSE,STD,,,,
2450004.2743,10.5,,,Vis.,MZS,,,,,,,,V,,,,T UMI,MCSE,STD,,,,
2450004.5,8.3,,,Vis.,PZS,,,,,,,,T,,,,T UMI,MCSE,STD,,,,
2450005.3,10.6,,,Vis.,MGE,,,,,,,,V,,,,T UMI,,STD,,,,
2450006.3,11.0,,,Vis.,EPE,W,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450006.3,10.0,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450009.3,11.3,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450011.2,11.3,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450011.5,11.0,,,Vis.,PZS,,,,,,,,V,,,,T UMI,MCSE,STD,,,,
2450011.6,11.2,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450014.4,11.6,,,Vis.,SHS,,,,,,,,V,,,,T UMI,,STD,,,,
2450014.4,10.2,,,Vis.,VFK,,,,,,,,T,,,,T UMI,AFOEV,STD,,,,
2450014.5,11.5,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450015.3,11.2,,,Vis.,BMU,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450015.3,11.0,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450015.5,11.2,,,Vis.,FJH,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450016.4,11.0,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450023.3,11.7,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450026.7,12.0,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450035.2,12.2,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450078.3,13.7,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450078.5,13.8,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450094.5,13.1,,,Vis.,SBT,,,,,,,,T,,,,T UMI,MCSE,STD,,,,
2450096.6,13.9,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450098.5,13.7,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450105.5,13.0,,,Vis.,FJH,,,,,,,,T,,,,T UMI,KNVWS,STD,,,,
2450106.4,13.6,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450112.7,13.7,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450131.5,13.4,,,Vis.,SBT,,,,,,,,V,,,,T UMI,MCSE,STD,,,,
2450134.5,12.5,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450135.7,12.6,,,Vis.,TRO,K,,,,,,,V,,,,T UMI,,STD,,,,
2450146.5,11.9,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450150.4,11.8,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450150.4,11.9,,,Vis.,FJH,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450152.4,11.3,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450152.4,11.7,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450152.7,11.7,,,Vis.,WC,,,,,,,,V,,,,T UMI,,STD,,,,
2450154.29,11.2,,,Vis.,MPR,,,,,,,,V,,,,T UMI,,STD,,,,
2450154.4,11.7,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450154.6,11.5,,,Vis.,TRO,K,,,,,,,V,,,,T UMI,,STD,,,,
2450157.42,11.3,,,Vis.,MPR,,,,,,,,V,,,,T UMI,,STD,,,,
2450163.3,10.9,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450163.7,11.9,,,Vis.,WC,,,,,,,,V,,,,T UMI,,STD,,,,
2450165.7,12.4,,,Vis.,KRS,,,,,,,,T,,,,T UMI,,STD,,,,
2450168.3,11.3,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450170.3,10.1,,,Vis.,VFK,,,,,,,,T,,,,T UMI,AFOEV,STD,,,,
2450170.41,10.7,,,Vis.,MPR,,,,,,,,V,,,,T UMI,,STD,,,,
2450173.4,11.4,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450173.4,11.1,,,Vis.,MGE,,,,,,,,V,,,,T UMI,,STD,,,,
2450174.3,10.1,,,Vis.,VFK,,,,,,,,T,,,,T UMI,AFOEV,STD,,,,
2450175.3,11.2,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450175.3,11.4,,,Vis.,EPE,M,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450176.3,11.1,,,Vis.,EPE,M,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
